Event Name,Country,Subnational,Metro Area,Venue Name,Address,Frequency,When,Type,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Game 9,Game 10,Twitter,Bluesky,Discord,Facebook,Instagram,Website / Startgg / Linktree / Etc,Email,Twitch1,Twitch2,YouTube,Other Notes,Status,Added,Last Update
LFGC,Canada,Ontario,London,Poacher's Arms,"171 Queens Ave, London, ON N6A 5J7",Weekly,Wednesday,Casuals,SF6,GBVSR,GGST,GGXrd,KOFXV,MK1,CvS2,SSF2T,VSav,Various,LondonOntFGC,,Forest City Fight Club,,,,,londonontariofgc,,London Ontario FGC,,Active,2024.0118,2024.0118
DKM Offside,Canada,Ontario,Niagara Falls,Mecha Games,"370 Ontario St, St. Catharines, ON L2R 5L8, Canada",Weekly,Thursday,Tournament,SF6,GGST,,,,,,,,,DKM_Network,,DKM Network,,,,,,,,,Active,2024.0727,2024.0727
Mortal Showdown,Canada,Ontario,Ottawa,Click eSports,"Merivale Rd & Family Brown Ln, Nepean, ON K2G 3K2, Canada",Every 2 Weeks,Thursday,Tournament,MK1,,,,,,,,,,MortalShowdown,,,,,,mortalshowdown@gmail.com,,,,,Active,2024.0118,2025.0315
Capital City Clash,Canada,Ontario,Ottawa,Level One,"14 Waller St, Ottawa, ON K1N 9C4",Monthly,Saturday,Tournament,GGXrd,UMvC3,MK1,GGST,SF6,Tekken,GBVSR,,,,DowntownRumble BattleCityHQ_,,Ottawa FGC,,,,jadonvan@gmail.com,DowntownRumble,Battlecity  mortalshowdown,,,Active,2024.0118,2024.0118
Downtown Rumble,Canada,Ontario,Ottawa,Level One,"14 Waller St, Ottawa, ON K1N 9C4",Weekly,Tuesday,Tournament,GGST,GBVSR,GGXrd,DBFZ,Various,,,,,,DowntownRumble,,Ottawa FGC,,,,,DowntownRumble,,,Games list varies,Active,2024.0118,2024.0118
Battle City Weeklies,Canada,Ontario,Ottawa,Tanglewood Hillsdale Community Ass,"30 Woodfield Dr, Nepean, ON K2G 3Y5",Weekly,Friday,Tournament,GGST,GBVSR,SF6,Tekken,Various,,,,,,BattleCityHQ_,,Ottawa FGC,,,,,,,,,Active,2024.0118,2024.0118
Bean Beatdown,Canada,Ontario,Peterborough,Dreams of Beans Cafe,"141 Charlotte St, Peterborough, ON K9J 2T6",Monthly,Saturday,Tournament,SF6,Tekken,GGST,Various,,,,,,,,ptbofgc.bsky.social,Peterborough FGC,ptbofights,,,ptbofgc@outlook.com,,,,Monthly SF6 or Tekken 8 Tournament with a side game voted by community members,Active,2025.0218,2025.0218
MCQU,Canada,Ontario,Sudbury,Collège Boréal classroom 4344,"21 Lasalle Blvd, Greater Sudbury, ON P3A 6B1",Monthly,Saturday,Tournament,SSBU,GGST,SF6,,,,,,,,Nickelcityfight,,Nickel City Fighters,,,,aaubinedu@gmail.com,SudburyFGC,,,,Active,2024.0118,2024.0118
Revenge of the 6ix,Canada,Ontario,Toronto,Red Bull Gaming Hub @ TMU Creative School,"80 Gould St, Toronto, ON M5B 2M7",Monthly,Saturday,Tournament,SF6,GGST,Tekken,DBFZ,UNI,MBTL,Various,,,,Incendium_GG,,Incendium Gaming Events,,,https://linktr.ee/incendiumgg,info@incendium.gg,incendiumgaming,incendiumgaming2,,,Active,2024.0118,2024.0118
Stun City,Canada,Ontario,Toronto,See-Scape,"347 Keele St, Toronto, ON M6P 2K6",Weekly,Wednesday,Tournament,GBVSR,SF6,Tekken,Various,,,,,,,TorontoTopTiers,,TorontoTopTiers.com,,,http://info.torontotoptiers.com,,TorontoTopTiers,TorontoTopTiers2,Toronto Top Tiers,,Active,2024.0118,2024.0118
SMASH CLASS,Canada,Ontario,Windsor,St. Clair College,"2000 Talbot Rd, Windsor, ON N9G 3C3, Canada",Weekly,Sunday,Tournament,SSBM,SSBU,SF6,UNI,GGST,BBCF,3S,MvC2,HFTF,Various,SCCSmashClass,,Smash Class,,,start.gg/hub/smash-class,,EnterThe_Dojo,SmasClass2000,Class_Smash,We have access to a gaming PC lab where you are free to download any fighting games you'd wanna play as well as run brackets for whatever you like! We aim to have a space more like an arcade in the past where we focus more on facilitating community and letting people decide what they wanna play and compete in. Also starting online brackets soon!,Active,2024.1212,2024.1212
Over Drive-Thru,Canada,PEI,Charlottestown,EM Cards & Collectibles,"95 Capital Dr Unit 116b, Charlottetown, PE C1E 1R4",Weekly,Tuesday,Tournament,SF6,GGST,GGXrd,DBFZ,GBVSR,Various,,,,,AtlanticFGC,,Atlantic Canada FGC,,,,,PEI_FighterZ,,,,Active,2024.0118,2024.0118
Montreal Gaming Center (MGC),Canada,Quebec,Montreal,Montreal Gaming Center,"1059 Boul. Saint-Laurent, Montréal, QC H2Z 1J6",Weekly,Friday,Tournament,SSBU,SF6,SSBM,GBVSR,GGST,Tekken,BBCF,MK1,UNI,KOFXV,MTLGamingCentre,,MGC,,,https://t.co/vIgOhlzdXi  https://www.patreon.com/MTLMGC,Nizar.awada@gmail.com,,,,,Active,2024.0118,2024.0118
La Quebagarre,Canada,Quebec,Quebec City,Izgara Kebaberie,"1re Av. & 12e Rue, Québec, QC G1L 3K9, Canada",Weekly,Monday,Casuals,GGST,SF6,GBVSR,Various,,,,,,,StriveQC,,Quebec FGC,Quebec FGC,,,,QuebecFGC,,QuebecFGC,Casuals every monday with tournament night once a month,Active,2024.1212,2025.0315
Super Move Sundays,Canada,Saskatchewan,Regina,East Birmingham's,"2635 Star Lite St, Regina, SK S4V 3E1",Weekly,Sunday,Casuals,SF6,GGST,GBVSR,Various,,,,,,,ReginaFGC,,QCF - Queen City Fighters,Queen City Fighters,,,,QueenCityFighters,,Queen City Fighters,,Active,2024.0118,2024.0118
TFA Monthly,China,Tianjin,Tianjin,Tianjin Fighting-Gamer Association,"Tianmu Town, Beichen District, Tianjin City, China",Monthly,Saturday,Tournament,SF6,GGST,,,,,,,,,omiggxrd,,,,,,omisnk@gmail.com,,,,More specific address info: 天津市鹿鸣青年社区D座503B,Active,2025.0114,2025.0116
SuperCombo.gg Presents: The Dojo,Costa Rica,,San Jose,Krypton Hobby Store,"C. 151 y Av. 91 San José Province, San Isidro",Monthly,Sunday,Tournament,GBVSR,SF6,Retro,UNI,GGST,,,,,,SuperComboGG,,Costa Rica FGC,,,start.gg/hub/supercombo-gg-presents-the-dojo,team@supercombo.gg,SuperComboGG,,SuperComboGG,,Active,2024.0129,2025.0119
Kinx Gaming Lounge,Cyprus,,Nicosia,Kingx Gaming Lounge,"Vyzantiou 8M, Strovolos 2064, Cyprus",Monthly,Sunday,Tournament,SF6,Tekken,GGST,,,,,,,,,,FGCY,,FGCyprus,,,,,,Happens around the 15th - 23rd of each month,Active,2024.0727,2024.0727
MBACO Generational Cutter!,Czechia,,Prague,Trhlina Community Center,"Jaromírova 9, Vinohrady, 128 00 Praha 2, Česko",Monthly,Saturday,Tournament,GGST,SF6,Kyanta 2,Various,,,,,,,mbaco_fgc,,My Buttons Aren't Coming Out!,,mbaco_fgc,https://linktr.ee/mbaco.fgc,mbaco.fgc@gmail.com,mbaco_fgc,,MBACO_FGC,Queer-friendly fighting game community variety locals,Active,2024.1212,2024.1212
MBACO Melee Místňák,Czechia,,Prague,Trhlina Community Center,"Jaromírova 9, Vinohrady, 128 00 Praha 2, Česko",Monthly,Saturday,Tournament,SSBM,,,,,,,,,,,,Czech Smash Melee,Super Smash Bros Cz/Sk,,,boucektj@gmail.com,mbaco_fgc,,MBACO_FGC,,Active,2024.1212,2024.1212
FGCA Monthly,Denmark,,Aarhus,Maybe Someone's House IDK,"Skovvangsvej 127, 8200 Aarhus, Denmark",Monthly,Sunday,Tournament,Tekken,SF6,GGST,SSBM,SSBU,,,,,,FGCAarhus,,,,,fgca.dk,fgcaarhus@gmail.com,FGCAarhus,,,,Active,2024.0118,2024.0118
FGCA Weekly,Denmark,,Aarhus,Maybe Someone's House IDK,"Skovvangsvej 127, 8200 Aarhus, Denmark",Weekly,Wednesday,Casuals,Tekken,SF6,GGST,SSBM,SSBU,,,,,,FGCAarhus,,,,,fgca.dk,fgcaarhus@gmail.com,FGCAarhus,,,,Active,2024.0118,2024.0118
Copenhagen Esport,Denmark,,Copenhagen,Copenhagen Esport,"Nørrebrogade 208, 2200 København, Denmark",Monthly,Saturday,Tournament,SSBU,SSBM,SF6,BBCF,GGST,GBVSR,Tekken,,,,cphfgc,,Det Danske Kampspilsfaellesskab,,,,,cphFGC,,,,Active,2024.0118,2024.0118
Arkade Bar,Finland,,Helsinki,Arkade Bar,"Kalevankatu 30, 00100 Helsinki",Weekly,Tuesday,Tournament,GGST,SF6,Tekken,DBFZ,KOFXV,UNI,MBTL,Various,,,MrMianki,,https://t.co/kKYBMVExu6,,,,,,,,,Active,2024.0118,2024.0118
Kauppakatu 44,Finland,,Kuopio,Kulttuuriareena 44,"Kauppakatu 44, 70110 Kuopio",Weekly,Monday,Tournament,GGST,GBVSR,SF6,Tekken,MK1,BBCF,UNI,Various,,,Jufee121,,,,,,,,,,,Active,2024.0118,2024.0118
Save File Weeklies,Finland,,Tampere,Save File,"Aleksis Kiven katu 24 Kellarikerros, 33200 Tampere",Weekly,Saturday,Tournament,Tekken,SF6,GGST,KOFXV,Various,,,,,,biiruken,,Biiruken,,,https://biiruken.com/,,Biiruken,,Team Biiruken,,Active,2024.0118,2024.0118
Turpakellari,Finland,,Turku,HIVE - Turku Game Hub,"Itäinen pitkäkatu 4 A, 20520 Turku",Weekly,Sunday,Casuals,SF6,Tekken,GBVSR,GGST,KOFXV,Various,,,,,Turpakellari,,Turpakellari,Turpakellari,turpakellari,https://turpakellari.com,,turpakellari,,turpakellari,,Active,2024.0118,2024.0118
ANC Smashweekly,Finland,,Turku,Kampuskappeli,"Rehtorinpellonkatu 4 C, 20500 Turku",Weekly,Varies,Tournament,SSBU,SSBM,,,,,,,,,anc_ry,,Academic Nintendo Club ry,,anc_ry,start.gg/ancweekly,anc-hallitus@lists.utu.fi,academicnintendoclub,,,On break every June-August,Active,2024.0118,2024.0118
GuardImpact,France,Finistère ,Brest,Patronage Laïque du Pilier Rouge,"2 Rue de Fleurus, 29200 Brest",Weekly,Friday,Casuals,SF6,SSBU,SC6,Various,,,,,,,GuardImpactVS,,Guard Impact,,,,,,,,,Active,2024.0118,2024.0118
SWGA,France,,Bordeaux,Salle Chauvin,"15 Rue Louis Eloi, 33130 Bègles",Monthly,Sunday,Tournament,SF6,GGST,GGXrd,Tekken,Various,,,,,,SWGA_Bordeaux,,,,,,,SWGA_tv,,,,Active,2024.0118,2024.0118
LaDOSE,France,,Lyon,Xp School Lyon,"Tour du Web, 4 Rue du Professeur Charles Appleton, 69007 Lyon",Monthly,Sunday,Tournament,SSF2T,3S,VSav,Tekken,SF6,KOFXV,UNI,GGXrd,GBVSR,Various,LaDoseNet,,LaDOSE.net,LaDOSE.net,,LaDOSE.net,,LaDOSETV,,,,Active,2024.0118,2024.0118
